step,ridge,lasso,enet,formula
3.7168592929207964,2.7118133586721895,3.6973229616660253,3.701033296404829,lprice ~ .
3.8138573956736517,2.784601269527263,3.8070943805882216,3.809753389624313,lprice ~ .+I(mileage^2)
3.7172273909726767,2.249398736877326,3.8127069470515034,3.8120744834467106,lprice ~.+I(mileage^3)
2.9355473896360493,1.684442034100636,2.9106442419657785,2.909094553252554,lprice ~.+I(1/mileage)-mileage
3.8384621454686783,2.2283123572619656,3.825595147179909,3.825326580603501,lprice ~.+I(mileage^3)+I(mileage^2)
3.7241287179589535,2.7352905468978164,3.7063733978282314,3.709654517122165,lprice ~.+mileage:trim
3.6292990300680845,2.737568041869636,3.6429444921695744,3.640276030591731,lprice ~.+mileage:displacement
3.7042046618308104,2.7456844810773497,3.6551844485668403,3.6534045500540997,lprice ~.+mileage:trim+mileage:displacement
3.714235311697417,2.7116629590628776,3.696533144334036,3.7000359985285827,lprice ~.+color:isOneOwner
3.7156869550433913,2.7144348697464835,3.7019703188794986,3.7041461095097645,lprice ~.*isOneOwner
3.6812196599644613,2.994858967912419,3.6788594390914233,3.6762087893574233,lprice ~.^2
