step,ridge,lasso,enet,formula
4.523745214800808,3.326596359136238,4.522526095544069,4.522060700620098,lprice ~ .
4.563167380384701,3.349954909180445,4.572008589476977,4.5717096791832725,lprice ~ .+I(mileage^2)
4.582872540947346,2.671090234013234,4.573595017572809,4.56738187838614,lprice ~.+I(mileage^3)
3.376739864290966,2.7332320980199802,3.372266218905853,3.374454614066509,lprice ~.+I(1/mileage)-mileage
4.578247307385247,2.668993600764475,4.576327328483623,4.5699838549685605,lprice ~.+I(mileage^3)+I(mileage^2)
4.544708767656632,3.3635654329919342,4.583672472191889,4.584404060106004,lprice ~.+mileage:trim
4.473021977231346,3.381560352875251,4.539673732597618,4.538871016869219,lprice ~.+mileage:displacement
4.624799624883031,3.401300295459025,4.609822165897713,4.611654759563419,lprice ~.+mileage:trim+mileage:displacement
4.5260309327041135,3.3268011903333075,4.522049496613935,4.5215988263938565,lprice ~.+color:isOneOwner
4.5212091750144054,3.336053798971352,4.536173414500663,4.535437417906912,lprice ~.*isOneOwner
4.545713462613163,3.78775178052571,4.642934627652069,4.638755423891284,lprice ~.^2
